"ANIO","CodDane","TOTAL Terminales MinTIC","PC entregados MinTIC","Tabletas MinTIC Estudiantes","Tabletas MinTIC Docentes","PC MinTIC Docentes","Retoma de PC","Docentes Formados","Padres Capacitados","Tabletas aportadas por ET","PC aportados por ET","FECHA_CORTE","Inversión","Niños por terminal municipal","Niños por terminal departamental","DEPARTAMENTO","Meta Terminales entregadas Mintic","Meta Docentes Formados","Meta Padres Capacitados","Meta Retoma de PC","VIGENCIA","Demanufactura (toneladas)","meta Demanufactura","docentes acompañados","Meta docentes acompañados","Sedes beneficiadas"
"2022","15232",,"0","0","0","0","0","1",",00","0","0","2022-09-30",",00","1,00","5,00","BOYACA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00","1,00","4000,00",",00"
"2022","52378",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","2,00","4,00","NARI�O","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","05145",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","2,00","4,49","ANTIOQUIA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","63111",,"0","0","0","0","0","0",",00","0","0","2022-10-31",",00","1,00","2,00","QUINDIO","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00",",00","4000,00",",00"
"2022","23580",,"0","0","0","0","0","1",",00","0","0","2022-10-31",",00","4,00","4,00","CORDOBA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","1,00","4000,00",",00"
"2022","73861",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","2,00","3,00","TOLIMA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","68770",,"0","0","0","0","0","1",",00","0","0","2022-10-31",",00","6,00","5,00","SANTANDER","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","1,00","4000,00",",00"
"2022","47189",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","5,00","6,00","MAGDALENA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","15550",,"0","0","0","0","0","0",",00","0","0","2022-10-31",",00","4,00","5,00","BOYACA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00",",00","4000,00",",00"
"2022","15673",,"0","0","0","0","0","1",",00","0","0","2022-10-31",",00","3,00","5,00","BOYACA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","1,00","4000,00",",00"
"2022","19622",,"0","0","0","0","0","2",",00","0","0","2022-10-31",",00","2,00","4,01","CAUCA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","2,00","4000,00",",00"
"2022","70204",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","1,00","3,00","SUCRE","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","68162",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","2,00","5,00","SANTANDER","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","25120",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","1,00","2,00","CUNDINAMARCA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","76736",,"0","0","0","0","0","2",",00","0","0","2022-10-31",",00","4,00","2,92","VALLE DEL CAUCA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","2,00","4000,00",",00"
"2022","27787",,"0","0","0","0","0","0",",00","0","0","2022-10-31",",00","7,00","6,00","CHOCO","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00",",00","4000,00",",00"
"2022","20570",,"0","0","0","0","0","4",",00","0","0","2022-10-31",",00","7,00","4,78","CESAR","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","4,00","4000,00",",00"
"2022","05790",,"0","0","0","0","0","2",",00","0","0","2022-10-31",",00","6,00","4,49","ANTIOQUIA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","2,00","4000,00",",00"
"2022","23580",,"0","0","0","0","0","1",",00","0","0","2022-09-30",",00","4,00","4,00","CORDOBA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00","1,00","4000,00",",00"
